state,year,quarter,insurance_type,count,amount
uttar-pradesh,2023,3,TOTAL,78940,121483170.0
uttar-pradesh,2023,2,TOTAL,74194,122522457.0
uttar-pradesh,2023,4,TOTAL,92125,165509877.0
uttar-pradesh,2023,1,TOTAL,73080,127110494.0
uttar-pradesh,2021,3,TOTAL,32799,32641118.0
uttar-pradesh,2021,4,TOTAL,44132,59654951.0
uttar-pradesh,2021,1,TOTAL,24103,18027573.0
uttar-pradesh,2021,2,TOTAL,25952,25137571.0
uttar-pradesh,2020,2,TOTAL,9884,1912266.0
uttar-pradesh,2020,4,TOTAL,17470,14180417.0
uttar-pradesh,2020,3,TOTAL,18131,4436969.0
uttar-pradesh,2024,1,TOTAL,103701,176442664.0
uttar-pradesh,2024,3,TOTAL,92930,157303596.0
uttar-pradesh,2024,4,TOTAL,116589,199179867.0
uttar-pradesh,2024,2,TOTAL,92458,159894258.0
uttar-pradesh,2022,2,TOTAL,55133,77434953.0
uttar-pradesh,2022,3,TOTAL,64514,87703512.0
uttar-pradesh,2022,1,TOTAL,45996,73014969.0
uttar-pradesh,2022,4,TOTAL,77022,116755813.0
punjab,2022,4,TOTAL,12187,21727831.0
punjab,2022,3,TOTAL,12370,19381895.0
punjab,2022,2,TOTAL,9175,15465367.0
punjab,2022,1,TOTAL,7475,13155682.0
punjab,2021,2,TOTAL,4047,3768919.0
punjab,2021,1,TOTAL,3783,2558380.0
punjab,2021,3,TOTAL,4887,5271559.0
punjab,2021,4,TOTAL,6638,9912828.0
punjab,2023,3,TOTAL,14048,24461488.0
punjab,2023,1,TOTAL,10816,23330966.0
punjab,2023,4,TOTAL,13777,28715828.0
punjab,2023,2,TOTAL,13187,24998175.0
punjab,2020,4,TOTAL,2451,1884291.0
punjab,2020,3,TOTAL,2488,684753.0
punjab,2020,2,TOTAL,2036,399452.0
punjab,2024,2,TOTAL,14129,27164397.0
punjab,2024,3,TOTAL,15509,30111034.0
punjab,2024,4,TOTAL,16279,31878987.0
punjab,2024,1,TOTAL,14729,28213940.0
rajasthan,2020,3,TOTAL,15235,3758527.0
rajasthan,2020,4,TOTAL,12509,6471573.0
rajasthan,2020,2,TOTAL,5373,1095933.0
rajasthan,2022,4,TOTAL,40926,60792838.0
rajasthan,2022,2,TOTAL,24333,33748931.0
rajasthan,2022,3,TOTAL,33975,45565544.0
rajasthan,2022,1,TOTAL,21517,31576932.0
rajasthan,2021,3,TOTAL,16643,12793862.0
rajasthan,2021,1,TOTAL,17800,8074225.0
rajasthan,2021,4,TOTAL,19375,24455262.0
rajasthan,2021,2,TOTAL,18281,14357445.0
rajasthan,2023,2,TOTAL,37170,61301449.0
rajasthan,2023,3,TOTAL,39960,64328784.0
rajasthan,2023,4,TOTAL,49741,94701652.0
rajasthan,2023,1,TOTAL,34415,61441050.0
rajasthan,2024,3,TOTAL,64533,108827800.0
rajasthan,2024,2,TOTAL,55241,95504657.0
rajasthan,2024,1,TOTAL,59127,102926410.0
rajasthan,2024,4,TOTAL,73530,127930986.0
