year,quarter,entity_type,entity_name,registered_users,app_opens
2020,4,pincode,421302,365506,0
2020,4,pincode,500072,350832,0
2020,4,pincode,122001,336803,0
2020,4,pincode,110092,335783,0
2020,4,pincode,110086,288308,0
2020,4,pincode,560078,285544,0
2020,4,pincode,121004,283882,0
2021,3,district,bengaluru urban,11321012,0
2021,3,district,pune,7398336,0
2021,3,district,thane,4597394,0
2021,3,district,jaipur,4534297,0
2021,3,district,mumbai suburban,4444495,0
2021,3,district,hyderabad,3839513,0
2021,3,district,ahmadabad,3445024,0
2021,3,district,rangareddy,3310906,0
2021,3,district,north twenty four parganas,2852030,0
2021,3,district,surat,2830392,0
2021,3,pincode,201301,618043,0
2021,3,pincode,110059,520096,0
2021,3,pincode,560068,486170,0
2021,3,pincode,421302,456284,0
2021,3,pincode,500072,425197,0
2021,3,pincode,122001,412737,0
2021,3,pincode,110092,409520,0
2021,3,pincode,110086,357590,0
2021,3,pincode,121004,352312,0
2021,3,pincode,560078,346840,0
2021,1,district,bengaluru urban,9955387,0
2021,1,district,pune,6481971,0
2021,1,district,thane,4014464,0
2021,1,district,jaipur,3951866,0
2021,1,district,mumbai suburban,3886500,0
2021,1,district,hyderabad,3379663,0
2021,1,district,ahmadabad,2999575,0
2021,1,district,rangareddy,2906635,0
2021,1,district,north twenty four parganas,2491076,0
2021,1,district,surat,2458596,0
2021,1,pincode,201301,541127,0
2021,1,pincode,110059,454201,0
2021,1,pincode,560068,427525,0
2021,1,pincode,421302,396179,0
2021,1,pincode,500072,375272,0
2021,1,pincode,122001,361360,0
2021,1,pincode,110092,359376,0
2021,1,pincode,110086,310419,0
2021,1,pincode,121004,306230,0
2021,1,pincode,560078,305721,0
2021,4,district,bengaluru urban,12038775,0
2021,4,district,pune,7880431,0
2021,4,district,thane,4906492,0
2021,4,district,jaipur,4841883,0
2021,4,district,mumbai suburban,4740546,0
2021,4,district,hyderabad,4081185,0
2021,4,district,ahmadabad,3679243,0
2021,4,district,rangareddy,3523496,0
2021,4,district,north twenty four parganas,3043008,0
2021,4,district,surat,3026960,0
2021,4,pincode,201301,659549,0
2021,4,pincode,110059,555449,0
2021,4,pincode,560068,517115,0
2021,4,pincode,421302,488443,0
2021,4,pincode,500072,451595,0
2021,4,pincode,122001,440178,0
2021,4,pincode,110092,436075,0
2021,4,pincode,110086,382858,0
2021,4,pincode,121004,376910,0
2021,4,pincode,560078,368213,0
2021,2,district,bengaluru urban,10604609,0
2021,2,district,pune,6915820,0
2021,2,district,thane,4290066,0
2021,2,district,jaipur,4226231,0
2021,2,district,mumbai suburban,4151227,0
2021,2,district,hyderabad,3598337,0
2021,2,district,ahmadabad,3209841,0
2021,2,district,rangareddy,3097973,0
2021,2,district,north twenty four parganas,2660664,0
2021,2,district,surat,2633443,0
2021,2,pincode,201301,577428,0
2021,2,pincode,110059,485328,0
2021,2,pincode,560068,455417,0
2021,2,pincode,421302,424376,0
2021,2,pincode,500072,398987,0
2021,2,pincode,122001,385555,0
2021,2,pincode,110092,383095,0
2021,2,pincode,110086,332618,0
2021,2,pincode,121004,328000,0
2021,2,pincode,560078,325334,0
2019,1,district,bengaluru urban,5003207,0
2019,1,district,pune,3038402,0
2019,1,district,jaipur,2060175,0
2019,1,district,mumbai suburban,1901210,0
2019,1,district,thane,1834051,0
2019,1,district,hyderabad,1638436,0
2019,1,district,rangareddy,1470874,0
2019,1,district,ahmadabad,1450100,0
2019,1,district,medchal malkajgiri,1279531,0
2019,1,district,surat,1180819,0
2019,1,pincode,201301,301260,0
2019,1,pincode,110059,246566,0
2019,1,pincode,560068,237280,0
2019,1,pincode,500072,221180,0
2019,1,pincode,110092,206805,0
2019,1,pincode,122001,194366,0
2019,1,pincode,110086,158267,0
2019,1,pincode,560078,157977,0
2019,1,pincode,395006,157558,0
2019,1,pincode,560076,157367,0
2019,3,district,bengaluru urban,6383771,0
2019,3,district,pune,4004991,0
2019,3,district,jaipur,2520933,0
2019,3,district,mumbai suburban,2407754,0
2019,3,district,thane,2396815,0
2019,3,district,hyderabad,2071673,0
2019,3,district,ahmadabad,1848860,0
2019,3,district,rangareddy,1826019,0
2019,3,district,medchal malkajgiri,1572320,0
2019,3,district,surat,1481391,0
2019,3,pincode,201301,369425,0
2019,3,pincode,110059,300007,0
2019,3,pincode,560068,289417,0
2019,3,pincode,500072,261019,0
2019,3,pincode,110092,248727,0
2019,3,pincode,122001,239679,0
2019,3,pincode,421302,208109,0
2019,3,pincode,395006,198132,0
2019,3,pincode,110086,194575,0
2019,3,pincode,800001,194197,0
2019,2,district,bengaluru urban,5694165,0
2019,2,district,pune,3514081,0
2019,2,district,jaipur,2290462,0
2019,2,district,mumbai suburban,2151657,0
2019,2,district,thane,2118406,0
2019,2,district,hyderabad,1856926,0
2019,2,district,ahmadabad,1656341,0
2019,2,district,rangareddy,1651300,0
2019,2,district,medchal malkajgiri,1428880,0
2019,2,district,surat,1338584,0
2019,2,pincode,201301,336709,0
2019,2,pincode,110059,274593,0
2019,2,pincode,560068,263531,0
2019,2,pincode,500072,242007,0
2019,2,pincode,110092,228546,0
2019,2,pincode,122001,217913,0
2019,2,pincode,421302,182371,0
2019,2,pincode,395006,180042,0
2019,2,pincode,560078,178837,0
2019,2,pincode,110086,177199,0
2019,4,district,bengaluru urban,7016836,0
2019,4,district,pune,4416899,0
2019,4,district,jaipur,2746860,0
2019,4,district,thane,2638051,0
2019,4,district,mumbai suburban,2630360,0
2019,4,district,hyderabad,2283903,0
2019,4,district,ahmadabad,2015947,0
2019,4,district,rangareddy,2001437,0
2019,4,district,medchal malkajgiri,1714832,0
2019,4,district,north twenty four parganas,1638605,0
2019,4,pincode,201301,398548,0
2019,4,pincode,110059,320535,0
2019,4,pincode,560068,313673,0
2019,4,pincode,500072,279498,0
2019,4,pincode,110092,264380,0
2019,4,pincode,122001,258880,0
2019,4,pincode,421302,243170,0
2019,4,pincode,560078,218317,0
2019,4,pincode,395006,214322,0
2019,4,pincode,560076,211683,0
2022,2,district,bengaluru urban,13342916,0
2022,2,district,pune,8757249,0
2022,2,district,thane,5471749,0
2022,2,district,jaipur,5409763,0
2022,2,district,mumbai suburban,5281053,0
2022,2,district,hyderabad,4519625,0
2022,2,district,ahmadabad,4105172,0
2022,2,district,rangareddy,3911372,0
2022,2,district,north twenty four parganas,3397791,0
2022,2,district,surat,3385398,0
2022,2,pincode,201301,735907,0
2022,2,pincode,110059,619737,0
2022,2,pincode,560068,573310,0
2022,2,pincode,421302,547501,0
2022,2,pincode,500072,499269,0
2022,2,pincode,122001,490709,0
2022,2,pincode,110092,484816,0
2022,2,pincode,110086,429566,0
2022,2,pincode,121004,422488,0
2022,2,pincode,560078,407066,0
2022,3,district,bengaluru urban,13997602,0
2022,3,district,pune,9194074,0
2022,3,district,thane,5757165,0
2022,3,district,jaipur,5696726,0
2022,3,district,mumbai suburban,5555095,0
2022,3,district,hyderabad,4739891,0
2022,3,district,ahmadabad,4319512,0
2022,3,district,rangareddy,4105107,0
2022,3,district,north twenty four parganas,3578500,0
2022,3,district,surat,3567767,0
2022,3,pincode,201301,774591,0
2022,3,pincode,110059,652328,0
2022,3,pincode,560068,601656,0
2022,3,pincode,421302,577754,0
2022,3,pincode,500072,523196,0
2022,3,pincode,122001,516313,0
2022,3,pincode,110092,509260,0
2022,3,pincode,110086,453393,0
2022,3,pincode,121004,445822,0
2022,3,pincode,201009,428994,0
2022,4,district,bengaluru urban,14654455,0
2022,4,district,pune,9622338,0
2022,4,district,thane,6042267,0
2022,4,district,jaipur,5975863,0
2022,4,district,mumbai suburban,5831539,0
2022,4,district,hyderabad,4962214,0
2022,4,district,ahmadabad,4530853,0
2022,4,district,rangareddy,4296707,0
2022,4,district,north twenty four parganas,3755017,0
2022,4,district,surat,3747780,0
2022,4,pincode,201301,814008,0
2022,4,pincode,110059,685596,0
2022,4,pincode,560068,630255,0
2022,4,pincode,421302,608005,0
2022,4,pincode,500072,547282,0
2022,4,pincode,122001,542209,0
2022,4,pincode,110092,534009,0
2022,4,pincode,110086,477514,0
2022,4,pincode,121004,468607,0
2022,4,pincode,201009,451153,0
2022,1,district,bengaluru urban,12707664,0
2022,1,district,pune,8331582,0
2022,1,district,thane,5196050,0
2022,1,district,jaipur,5133527,0
2022,1,district,mumbai suburban,5017556,0
2022,1,district,hyderabad,4306136,0
2022,1,district,ahmadabad,3897869,0
2022,1,district,rangareddy,3722676,0
2022,1,district,north twenty four parganas,3224459,0
2022,1,district,surat,3210535,0
2022,1,pincode,201301,698600,0
2022,1,pincode,110059,588266,0
2022,1,pincode,560068,545827,0
2022,1,pincode,421302,518716,0
2022,1,pincode,500072,476073,0
2022,1,pincode,122001,465984,0
2022,1,pincode,110092,460951,0
2022,1,pincode,110086,406863,0
2022,1,pincode,121004,400283,0
2022,1,pincode,560078,388154,0
2024,1,district,bengaluru urban,17506580,0
2024,1,district,pune,11546171,0
2024,1,district,thane,7314981,0
