state,year,quarter,total_amount
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,6237048367.26239
nagaland,2021,1,6214900969.2263975
chandigarh,2020,4,6146762901.349343
jammu-&-kashmir,2019,2,6100142201.563506
ladakh,2024,1,6085390661.0
bihar,2018,1,6045758172.017141
jammu-&-kashmir,2019,1,5951835476.521015
puducherry,2021,1,5899309571.7436495
assam,2018,4,5888022859.013107
arunachal-pradesh,2021,3,5678124175.29882
jammu-&-kashmir,2018,4,5664720265.697518
uttarakhand,2018,4,5654272137.963897
sikkim,2022,2,5611105670.307138
manipur,2020,4,5602224558.458755
himachal-pradesh,2019,3,5572018781.123336
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,5565839386.330659
nagaland,2020,4,5546169741.125373
tripura,2021,4,5496929464.299448
nagaland,2022,3,5364400495.05083
kerala,2018,3,5323025223.875456
meghalaya,2022,2,5281491421.884796
andaman-&-nicobar-islands,2023,3,5211596791.0
sikkim,2022,3,5162880543.8914585
chandigarh,2020,1,5126453070.016199
chandigarh,2020,3,5089809353.36507
andaman-&-nicobar-islands,2023,2,4990344236.0
puducherry,2020,4,4930526217.671206
himachal-pradesh,2019,2,4875883973.610599
jharkhand,2018,2,4721575659.062854
punjab,2018,2,4684672212.007036
meghalaya,2022,1,4662338331.331895
odisha,2018,1,4627632210.887484
manipur,2020,3,4615976120.870505
manipur,2023,2,4463876653.0
andaman-&-nicobar-islands,2023,1,4461528587.0
mizoram,2024,4,4461162922.0
arunachal-pradesh,2021,2,4456425616.994382
sikkim,2022,1,4367431275.863424
tripura,2021,3,4364133768.181475
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,4305939102.791508
chhattisgarh,2018,2,4264170443.1616497
sikkim,2021,4,4196783261.6358085
chandigarh,2019,4,4152513817.9393516
nagaland,2020,3,4019298286.30959
andaman-&-nicobar-islands,2022,4,3984674404.4287868
jammu-&-kashmir,2018,3,3934700999.45767
mizoram,2024,3,3923888231.0
kerala,2018,2,3886923343.442624
ladakh,2023,1,3849021298.0
meghalaya,2021,4,3848765400.186154
chandigarh,2020,2,3847015729.6900754
arunachal-pradesh,2021,1,3813779079.016644
assam,2018,3,3811134989.914274
mizoram,2024,2,3798477640.0
jammu-&-kashmir,2019,3,3744230491.782468
uttarakhand,2018,3,3726573039.858497
mizoram,2024,1,3630096730.0
manipur,2023,3,3608286601.0
ladakh,2022,3,3605199350.373904
puducherry,2020,3,3598080229.4346027
arunachal-pradesh,2020,4,3570264021.845619
ladakh,2022,2,3543318177.9962697
mizoram,2023,4,3540840283.0
tripura,2021,2,3468154361.0362735
goa,2020,1,3410371231.9237623
himachal-pradesh,2019,1,3381481442.991052
goa,2020,3,3368343580.94466
tripura,2021,1,3335341569.7934213
andaman-&-nicobar-islands,2022,3,3310631772.1373878
chandigarh,2019,3,3269682087.6608405
manipur,2020,2,3198936212.8055105
mizoram,2023,2,3191806576.0
tripura,2020,4,3182130996.221309
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,3157668461.4189043
mizoram,2023,3,3106130235.0
sikkim,2021,3,2989336863.808393
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,2965632911.193505
mizoram,2023,1,2955622739.0
jammu-&-kashmir,2020,1,2937643176.534017
goa,2019,4,2923460348.499468
ladakh,2022,4,2894477572.678949
punjab,2018,1,2780758224.854396
meghalaya,2021,3,2769000451.527971
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,2700511100.8285055
chandigarh,2019,2,2693116098.944456
andaman-&-nicobar-islands,2022,2,2685920350.0802655
uttarakhand,2018,2,2679755378.551041
jammu-&-kashmir,2018,2,2651206236.502874
himachal-pradesh,2018,4,2621298968.1392493
arunachal-pradesh,2020,3,2609938565.558217
manipur,2020,1,2598590380.876943
sikkim,2021,2,2424899579.675299
kerala,2018,1,2402674753.1005054
chandigarh,2019,1,2396032050.4440293
jharkhand,2018,1,2374186389.9193864
assam,2018,2,2350585135.537794
tripura,2020,3,2341819516.215884
nagaland,2020,2,2275349008.695601
sikkim,2021,1,2217667726.840725
ladakh,2021,3,2213984743.934589
puducherry,2020,1,2205277477.0795827
meghalaya,2021,2,2193617254.8905993
goa,2020,2,2183616430.0167723
ladakh,2021,4,2153535138.780267
chhattisgarh,2018,1,2149155557.2367654
andaman-&-nicobar-islands,2022,1,2129030202.075167
meghalaya,2021,1,2055515277.9898355
mizoram,2022,4,2037911085.2630196
chandigarh,2018,4,2032591591.7799747
ladakh,2022,1,2025040918.842209
mizoram,2022,2,2003186567.1089368
goa,2019,3,2000367191.4968417
puducherry,2020,2,1960030980.487591
mizoram,2022,3,1946265612.067954
mizoram,2022,1,1945158963.6112459
andaman-&-nicobar-islands,2021,4,1932610101.323657
puducherry,2019,4,1932028317.878903
jammu-&-kashmir,2019,4,1929695997.822597
sikkim,2020,4,1919275805.1229236
arunachal-pradesh,2020,2,1826716832.9849634
meghalaya,2020,4,1804242572.1989706
nagaland,2020,1,1789560057.46874
mizoram,2021,4,1770665741.5230415
tripura,2020,2,1769175883.5859618
himachal-pradesh,2018,3,1754041432.8580287
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,1749789114.9993625
goa,2019,2,1591867103.3876162
tripura,2020,1,1588778806.3885026
uttarakhand,2018,1,1508545358.5238862
goa,2019,1,1475323397.2765768
mizoram,2021,3,1473748650.2119517
puducherry,2019,3,1460708357.455411
ladakh,2021,2,1427259095.4703195
sikkim,2020,3,1400926728.660399
arunachal-pradesh,2020,1,1381758681.3301468
chandigarh,2018,3,1369354447.5343113
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,1342763369.2925177
andaman-&-nicobar-islands,2021,3,1310024395.8016033
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,1302376453.888058
meghalaya,2020,3,1237059001.3830347
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,1226641262.0110404
tripura,2019,4,1215400160.2581897
puducherry,2019,2,1211446910.1278074
manipur,2019,4,1200897682.0886364
arunachal-pradesh,2019,4,1190573179.5272827
himachal-pradesh,2018,2,1183169301.3511195
sikkim,2019,4,1176509601.656218
assam,2018,1,1157804456.2124681
meghalaya,2020,2,1153735154.3383968
goa,2018,4,1153005078.922405
mizoram,2021,2,1122874473.3020926
meghalaya,2020,1,1120134840.907814
ladakh,2020,4,1111963470.5079606
mizoram,2021,1,1101105586.9459379
sikkim,2020,2,1054618788.2612664
sikkim,2020,1,1053476271.944402
tripura,2019,3,1017377422.8172246
jammu-&-kashmir,2018,1,1005371239.256127
mizoram,2020,4,986522115.6939577
ladakh,2021,1,983419813.2468792
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,961471473.848372
chandigarh,2018,2,961223261.7447293
arunachal-pradesh,2019,3,912645034.7958702
puducherry,2019,1,906473024.3065218
andaman-&-nicobar-islands,2021,2,899147016.112296
sikkim,2019,3,884716448.4404284
manipur,2019,3,863552002.5629344
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,843369776.0499004
tripura,2019,2,841821482.8473772
ladakh,2020,3,835487500.0581932
nagaland,2019,4,834537138.348775
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,824441276.565071
andaman-&-nicobar-islands,2021,1,783706567.3897556
tripura,2019,1,756894941.6158203
arunachal-pradesh,2019,2,752655874.3550282
meghalaya,2019,4,742436471.790219
sikkim,2019,2,738894243.4359412
manipur,2019,2,722789942.1495004
goa,2018,3,713166969.2382339
mizoram,2020,3,707944175.5046005
manipur,2019,1,659898060.4240791
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,658750616.8008866
nagaland,2019,3,650956471.7134116
himachal-pradesh,2018,1,628737806.3723378
andaman-&-nicobar-islands,2020,4,627282656.3148526
puducherry,2018,4,625691665.4234949
tripura,2018,4,624885599.4644467
chandigarh,2018,1,613435420.8676232
meghalaya,2019,3,612218602.1535332
arunachal-pradesh,2019,1,609950106.3139497
manipur,2018,4,605683559.3060118
ladakh,2020,2,523792998.6520244
nagaland,2019,2,520066682.15850437
arunachal-pradesh,2018,4,504040029.0917603
meghalaya,2019,2,492931289.107279
goa,2018,2,478603825.35861516
sikkim,2019,1,457993634.384094
mizoram,2020,2,457193433.44231826
tripura,2018,3,453863388.04059273
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,447639595.6781753
nagaland,2019,1,441941712.4123301
puducherry,2018,3,417658075.494207
meghalaya,2019,1,399037162.15343505
mizoram,2020,1,392077579.3496371
nagaland,2018,4,388013467.5456238
manipur,2018,3,383331244.79412246
sikkim,2018,4,383141358.0782538
ladakh,2020,1,377639677.4457435
mizoram,2019,4,368689350.63448846
andaman-&-nicobar-islands,2020,3,338019446.3303605
meghalaya,2018,4,337585679.00467384
arunachal-pradesh,2018,3,331726406.74139136
ladakh,2019,3,331129527.1938223
ladakh,2019,4,324689360.02811164
goa,2018,1,303856742.34308386
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,302070771.6561516
puducherry,2018,2,285801119.5324369
mizoram,2019,3,278793899.95134217
ladakh,2019,2,259255506.99742496
manipur,2018,2,253209721.3194942
mizoram,2019,2,248016708.1350143
lakshadweep,2024,4,247756681.0
nagaland,2018,3,241792742.9366532
tripura,2018,2,236891718.71613595
sikkim,2018,3,235080226.95331788
mizoram,2019,1,218160895.3974025
meghalaya,2018,3,209853661.5343942
arunachal-pradesh,2018,2,198970192.34204647
lakshadweep,2024,3,192408087.0
mizoram,2018,4,190426852.52952957
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,175658384.1092169
andaman-&-nicobar-islands,2020,2,169645001.41414705
puducherry,2018,1,165825971.36983615
andaman-&-nicobar-islands,2020,1,161476312.29727465
nagaland,2018,2,153325577.88030168
ladakh,2019,1,152859920.9491272
lakshadweep,2024,2,146212841.0
sikkim,2018,2,143693085.52979562
tripura,2018,1,137978914.53062263
andaman-&-nicobar-islands,2019,4,136838530.5173779
ladakh,2018,4,135522842.4926374
lakshadweep,2024,1,130052381.0
manipur,2018,1,128046173.93020903
andaman-&-nicobar-islands,2019,2,120254709.67566319
lakshadweep,2023,4,119831383.0
meghalaya,2018,2,117004667.84183167
mizoram,2018,3,116600738.1253904
andaman-&-nicobar-islands,2019,3,114071776.08729394
andaman-&-nicobar-islands,2019,1,102299740.67348987
lakshadweep,2023,2,97987438.0
lakshadweep,2023,3,94527061.0
arunachal-pradesh,2018,1,92387336.00940917
andaman-&-nicobar-islands,2018,4,90548336.07445517
lakshadweep,2023,1,85321961.0
ladakh,2018,3,84090977.14484604
mizoram,2018,2,83508405.55773434
nagaland,2018,1,78005891.0861251
meghalaya,2018,1,66250259.78990053
sikkim,2018,1,64650938.940368414
lakshadweep,2022,2,55929601.989905685
andaman-&-nicobar-islands,2018,3,55557471.13431111
lakshadweep,2022,1,54939432.65393007
lakshadweep,2022,4,54813873.61493625
lakshadweep,2021,4,50998185.52838101
lakshadweep,2022,3,47580009.61750025
ladakh,2018,2,47334902.53774148
mizoram,2018,1,45227219.97579084
lakshadweep,2021,3,38803163.69876814
lakshadweep,2020,4,30111317.917080384
andaman-&-nicobar-islands,2018,2,28338535.507953543
lakshadweep,2021,2,27383463.65795153
lakshadweep,2021,1,27042782.914081153
lakshadweep,2020,3,21306833.308656838
lakshadweep,2020,2,16942922.085944396
andaman-&-nicobar-islands,2018,1,14631761.22198579
lakshadweep,2020,1,13502368.574504206
ladakh,2018,1,12532857.771114776
lakshadweep,2019,4,11269913.404923853
lakshadweep,2019,3,9651761.46376847
lakshadweep,2019,2,9242524.136988886
lakshadweep,2019,1,8786130.479338994
lakshadweep,2018,2,6187809.539400537
lakshadweep,2018,4,4463213.698222831
lakshadweep,2018,3,4339032.3119858485
lakshadweep,2018,1,1928611.1808777407
